Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
15	45	0.495760	101	10.100000	1.590156	0.962134	1.000000	4.014940	0.000823	0.000491	0.000552	0.001692	0.000275	0.000244	0.000265	0.000090	0.000408	0.000244	0.000274	0.000839	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Brachauchenius_lucasi,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Eoplesiosaurus_antiquior,Hauffiosaurus_tomistomimus,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Kronosaurus_MCZ_1285,Libonectes_morgani,Liopleurodon_ferox,Luskhan_itilensis,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Microcleidus_brachypterygius,Microcleidus_homalospondylus,Microcleidus_tournemirensis,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Peloneustes_philarchus,Plesiopterys_wildi,Plesiosaurus_dolichodeirus,Polycotylus_latipinnis,Sachicasaurus_vitae,Seeleyosaurus_guilelmiimperatoris,Simolestes_vorax,Stenorhynchosaurus_munozi,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassiodracon_hawkinsii,Thalassomedon_haningtoni,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
16	10	3.893774	127	12.700000	1.749026	1.001200	1.000000	3.509844	0.000872	0.000515	0.000566	0.001815	0.002163	0.001918	0.002085	0.000704	0.003396	0.002007	0.002206	0.007066	Brachauchenius_lucasi,Hauffiosaurus_tomistomimus,Kronosaurus_MCZ_1285,Liopleurodon_ferox,Luskhan_itilensis,Peloneustes_philarchus,Sachicasaurus_vitae,Simolestes_vorax,Stenorhynchosaurus_munozi,Thalassiodracon_hawkinsii	
17	9	12.369322	113	11.300000	1.423958	1.008887	1.000000	2.275730	0.000747	0.000509	0.000558	0.001360	0.006871	0.006092	0.006624	0.002238	0.009238	0.006292	0.006896	0.016826	Brachauchenius_lucasi,Hauffiosaurus_tomistomimus,Kronosaurus_MCZ_1285,Liopleurodon_ferox,Luskhan_itilensis,Peloneustes_philarchus,Sachicasaurus_vitae,Simolestes_vorax,Stenorhynchosaurus_munozi	
18	1	12.104819	106	10.600000	1.329352	0.991653	1.000000	2.055164	0.000690	0.000491	0.000557	0.001078	0.006724	0.005962	0.006482	0.002190	0.008355	0.005947	0.006742	0.013047	Hauffiosaurus_tomistomimus	
19	8	16.581282	241	24.100000	2.726555	1.034277	1.000000	4.984985	0.001342	0.000521	0.000607	0.002404	0.009211	0.008167	0.008879	0.003000	0.022252	0.008642	0.010065	0.039860	Brachauchenius_lucasi,Kronosaurus_MCZ_1285,Liopleurodon_ferox,Luskhan_itilensis,Peloneustes_philarchus,Sachicasaurus_vitae,Simolestes_vorax,Stenorhynchosaurus_munozi	
20	1	6.425168	106	10.600000	1.253837	1.012573	1.000000	1.462616	0.000642	0.000506	0.000555	0.000677	0.003569	0.003165	0.003441	0.001162	0.004122	0.003253	0.003563	0.004348	Peloneustes_philarchus	
21	7	4.547321	114	11.400000	1.429381	1.054793	1.000000	3.873447	0.000690	0.000511	0.000552	0.001152	0.002526	0.002240	0.002435	0.000823	0.003136	0.002322	0.002510	0.005237	Brachauchenius_lucasi,Kronosaurus_MCZ_1285,Liopleurodon_ferox,Luskhan_itilensis,Sachicasaurus_vitae,Simolestes_vorax,Stenorhynchosaurus_munozi	
22	6	0.323029	151	15.100000	1.485380	1.012069	1.000000	2.168260	0.000764	0.000520	0.000559	0.001137	0.000179	0.000159	0.000173	0.000058	0.000247	0.000168	0.000181	0.000367	Brachauchenius_lucasi,Kronosaurus_MCZ_1285,Liopleurodon_ferox,Luskhan_itilensis,Sachicasaurus_vitae,Stenorhynchosaurus_munozi	
23	1	3.179640	122	12.200000	1.487565	1.064733	1.000000	4.918580	0.000690	0.000512	0.000551	0.001145	0.001766	0.001566	0.001703	0.000575	0.002194	0.001626	0.001752	0.003641	Liopleurodon_ferox	
24	5	26.598689	150	15.000000	1.448642	1.003213	1.000000	2.470571	0.000745	0.000499	0.000557	0.001269	0.014776	0.013100	0.014244	0.004812	0.019814	0.013275	0.014815	0.033753	Brachauchenius_lucasi,Kronosaurus_MCZ_1285,Luskhan_itilensis,Sachicasaurus_vitae,Stenorhynchosaurus_munozi	
25	2	13.256295	170	17.000000	1.425235	0.998439	1.000000	1.963569	0.000728	0.000504	0.000557	0.000936	0.007364	0.006529	0.007099	0.002398	0.009655	0.006681	0.007384	0.012408	Brachauchenius_lucasi,Kronosaurus_MCZ_1285	
26	1	34.276469	157	15.700000	1.314387	1.003824	1.000000	1.756260	0.000679	0.000504	0.000550	0.000901	0.019041	0.016882	0.018355	0.006201	0.023265	0.017260	0.018865	0.030866	Brachauchenius_lucasi	
27	1	13.351137	157	15.700000	1.366854	1.016598	1.000000	2.542970	0.000681	0.000499	0.000550	0.000967	0.007417	0.006576	0.007150	0.002415	0.009097	0.006659	0.007343	0.012910	Kronosaurus_MCZ_1285	
28	3	5.030299	166	16.600000	1.456634	1.009381	1.000000	2.121529	0.000750	0.000505	0.000558	0.001046	0.002794	0.002478	0.002694	0.000910	0.003773	0.002540	0.002804	0.005262	Luskhan_itilensis,Sachicasaurus_vitae,Stenorhynchosaurus_munozi	
29	2	4.228222	180	18.000000	1.550833	1.016716	1.000000	2.471924	0.000789	0.000507	0.000561	0.001209	0.002349	0.002082	0.002264	0.000765	0.003335	0.002142	0.002370	0.005111	Sachicasaurus_vitae,Stenorhynchosaurus_munozi	
30	1	5.786511	213	21.300000	2.211007	1.197825	1.000000	8.966375	0.000963	0.000519	0.000576	0.001762	0.003214	0.002850	0.003099	0.001047	0.005573	0.003005	0.003336	0.010195	Sachicasaurus_vitae	
