Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
31	2	2.230604	156	15.600000	1.705045	0.994624	1.000000	3.030028	0.000825	0.000447	0.000502	0.001488	0.001125	0.001005	0.001066	0.000374	0.001840	0.000997	0.001120	0.003319	Microcleidus_brachypterygius,Microcleidus_homalospondylus	
32	1	1.558549	141	14.100000	1.594461	1.013850	1.000000	2.872338	0.000774	0.000456	0.000499	0.001411	0.000786	0.000703	0.000745	0.000262	0.001206	0.000711	0.000778	0.002199	Microcleidus_brachypterygius	
33	1	6.414716	126	12.600000	1.372658	1.010858	1.000000	1.957368	0.000653	0.000450	0.000499	0.000862	0.003235	0.002891	0.003066	0.001077	0.004188	0.002885	0.003198	0.005532	Microcleidus_homalospondylus	
34	1	7.831843	102	10.200000	1.263732	0.998517	1.000000	1.785475	0.000608	0.000447	0.000492	0.000853	0.003950	0.003530	0.003744	0.001315	0.004762	0.003504	0.003853	0.006683	Seeleyosaurus_guilelmiimperatoris	
35	29	3.444517	93	9.300000	1.263777	1.001727	1.000000	1.798815	0.000619	0.000448	0.000491	0.000859	0.001737	0.001553	0.001646	0.000578	0.002131	0.001542	0.001691	0.002957	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Plesiopterys_wildi,Polycotylus_latipinnis,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
36	28	13.434755	108	10.800000	1.203047	0.993176	1.000000	1.290844	0.000581	0.000452	0.000495	0.000630	0.006776	0.006056	0.006422	0.002255	0.007806	0.006068	0.006650	0.008466	Abyssosaurus_nataliae,Albertonectes_vanderveldei,Aristonectes_quiriquinensis,Brancasaurus_brancai,Callawayasaurus_colombiensis,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Dolichorhynchops_bonneri,Dolichorhynchops_osborni,Edgarosaurus_muddi,Hydrotherosaurus_alexandrae,Kaiwhekea_katiki,Libonectes_morgani,Manemergus_anguirostris,Mauriciosaurus_fernandezi,Muraenosaurus_leedsii,Nakonanectes_bradti,Nichollssaura_borealis,Ophthalmothule_cryostea,Polycotylus_latipinnis,Styxosaurus_SDSM_451,Styxosaurus_browni,Styxosaurus_rezaci,Thalassomedon_haningtoni,Thililua_longicollis,Tricleidus_seeleyi,Trinacromerum_bentonianum,Vegasaurus_molyi	
37	6	2.084911	390	39.000000	3.670158	0.980273	1.000000	7.431547	0.001629	0.000518	0.000620	0.003087	0.001052	0.000940	0.000997	0.000350	0.003397	0.001080	0.001294	0.006437	Abyssosaurus_nataliae,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Muraenosaurus_leedsii,Ophthalmothule_cryostea,Tricleidus_seeleyi	
38	1	7.428321	413	41.300000	3.890959	0.933227	1.000000	9.003009	0.001824	0.000506	0.000641	0.004502	0.003746	0.003348	0.003551	0.001247	0.013546	0.003762	0.004762	0.033441	Muraenosaurus_leedsii	
39	5	1.923592	681	68.100000	9.126726	1.439829	4.503951	24.468082	0.004290	0.000588	0.002065	0.014808	0.000970	0.000867	0.000919	0.000323	0.008252	0.001132	0.003973	0.028484	Abyssosaurus_nataliae,Colymbosaurus_megadeirus,Cryptoclidus_eurymerus,Ophthalmothule_cryostea,Tricleidus_seeleyi	
40	4	0.275252	755	75.500000	9.039078	1.743954	5.066400	22.730275	0.004079	0.000874	0.002329	0.009535	0.000139	0.000124	0.000132	0.000046	0.001123	0.000241	0.000641	0.002625	Abyssosaurus_nataliae,Colymbosaurus_megadeirus,Ophthalmothule_cryostea,Tricleidus_seeleyi	
41	1	4.114647	802	80.200000	9.795260	1.869603	6.119834	20.388497	0.004477	0.000936	0.002716	0.008137	0.002075	0.001855	0.001967	0.000691	0.018421	0.003851	0.011177	0.033479	Tricleidus_seeleyi	
